target_name,degraded_channel_ghz,noise_factor,setup_type,group_name,model_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,50.3,1.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,50.3,1.0,global,all_era5,linear_regression,240,1.3579228821532878,1.0671540520145641,-0.0004172936135218445,14.459286213124718,0.09391354885282642,90.6477757600727
lower_layer_mean_temperature_k,50.3,1.0,global,all_era5,ridge_regression,240,1.4128312631705795,1.1125054460416086,-7.529353683691417e-05,14.459286213124718,0.09771099640369178,90.26961327479903
lower_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,linear_regression,60,0.9138110705018695,0.6781272748199954,0.0016885720206938496,1.9301439415397743,0.4734419287780557,53.44487700349113
lower_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,ridge_regression,60,0.9117330337340068,0.681020598488053,0.0010839950593468947,1.9301439415397743,0.47236530608523986,53.55074490161802
lower_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.21956891776414822,0.1766306708496762,0.0006778649975063899,0.43612274359400777,0.5034567010991469,50.15778659118445
lower_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.21950123457823284,0.17652293077782133,0.0006778750666683209,0.43612274359400777,0.5033015081244406,50.173150695680356
lower_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.0498487730535797,0.849154623412398,0.0034147628222065407,1.3739092584337618,0.7641325412206577,24.541911554459904
lower_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.0493921062936291,0.8491350301879834,0.0033759859782009015,1.3739092584337618,0.7638001562708167,24.574734568256694
lower_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,linear_regression,240,0.7721687181290294,0.5261794726964966,0.0018428410282033052,14.459286213124718,0.05340296241097507,40.59014613597661
lower_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,ridge_regression,240,0.7713392306738222,0.5268513808420999,0.001678775368682158,14.459286213124718,0.053345595301493944,40.65396603354422
upper_layer_mean_temperature_k,50.3,1.0,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,50.3,1.0,global,all_era5,linear_regression,240,3.20031818434828,2.5508266082721263,0.003476032871706754,6.669423297192855,0.4798493125627948,52.21500595728834
upper_layer_mean_temperature_k,50.3,1.0,global,all_era5,ridge_regression,240,3.279741745816866,2.691042516635746,0.001169140141982794,6.669423297192855,0.49175792263737433,51.029106870694804
upper_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,linear_regression,60,3.1708043530377465,2.568603898769966,0.004494171011735659,3.3839812726815155,0.9370041077458905,7.8612627383208515
upper_layer_mean_temperature_k,50.3,1.0,source_name,high_latitude_continental_2020,ridge_regression,60,3.145534136927285,2.5797906322725366,0.0009442080795461531,3.3839812726815155,0.9295365084673529,8.595576667377058
upper_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.30143592740474906,0.2490023720245,0.0005939602054502302,0.324061317612984,0.930181761973653,7.912005564608837
upper_layer_mean_temperature_k,50.3,1.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.3013134762042156,0.24890013380980774,0.0005854758615410561,0.324061317612984,0.9298038976810696,7.949414129574583
upper_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.6974385971951089,0.5700286911723073,-0.0018202236809582218,0.7128337230272038,0.9784029215583178,3.382711496116153
upper_layer_mean_temperature_k,50.3,1.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.696934161611601,0.5699104937065563,-0.001786651755539026,0.7128337230272038,0.9776952732425708,3.452591767296165
upper_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,linear_regression,240,1.6472705003229609,0.9359115267601356,0.0007642849448854368,6.669423297192855,0.24698844666469036,7.611672558193283
upper_layer_mean_temperature_k,50.3,1.0,source_name_pooled,all_sources_pooled,ridge_regression,240,1.6350324404763616,0.9386262117244062,-0.00011555028965103039,6.669423297192855,0.24515349642967527,8.29805277330572
lower_layer_mean_temperature_k,50.3,2.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,50.3,2.0,global,all_era5,linear_regression,240,1.3567451165266466,1.070858056172106,-0.0001300063220842418,14.459286213124718,0.09383209492700455,90.65588721351912
lower_layer_mean_temperature_k,50.3,2.0,global,all_era5,ridge_regression,240,1.4196596759550244,1.1278876287412047,8.499753683111066e-06,14.459286213124718,0.09818324743211715,90.22258494321834
lower_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,linear_regression,60,0.9128775952238141,0.6752959104354592,0.001965093344157746,1.9301439415397743,0.47295829890052915,53.49243394144791
lower_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,ridge_regression,60,0.9112128013072914,0.6770352394128134,0.0012095898666932689,1.9301439415397743,0.4720957757069509,53.577248722149776
lower_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.2792776194668667,0.22450781316471136,0.0007344515033986454,0.43612274359400777,0.6403647220169967,36.603892520317316
lower_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.2791811337658083,0.22429589990803606,0.0007397237317888994,0.43612274359400777,0.640143486820081,36.62579480481196
lower_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.0535438277182196,0.8526958472546695,0.003064467443742558,1.3739092584337618,0.7668219871516446,24.276328768774945
lower_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.053113632151504,0.8522007359850285,0.0030284928525254884,1.3739092584337618,0.7665088692626174,24.307249160316367
lower_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,linear_regression,240,0.7815494675617614,0.5466008488457177,0.001818783943703058,14.459286213124718,0.05405173229452693,39.86840108227386
lower_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,ridge_regression,240,0.780855840512297,0.5467823468098946,0.0016201133057605214,14.459286213124718,0.054003761250919345,39.921768022266804
upper_layer_mean_temperature_k,50.3,2.0,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,50.3,2.0,global,all_era5,linear_regression,240,3.2128352770721587,2.553729330111745,0.002717813176056557,6.669423297192855,0.4817261004297678,52.02810916553562
upper_layer_mean_temperature_k,50.3,2.0,global,all_era5,ridge_regression,240,3.2793810877658833,2.6906014860954723,0.0010037344654046858,6.669423297192855,0.4917038462900034,51.03449197362049
upper_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,linear_regression,60,3.1767515887662094,2.603715518748476,-0.011303975670928423,3.3839812726815155,0.9387615748384168,7.688445140889111
upper_layer_mean_temperature_k,50.3,2.0,source_name,high_latitude_continental_2020,ridge_regression,60,3.157734776392761,2.6051775117295084,-0.010625010207825861,3.3839812726815155,0.9331419183329364,8.241044697261346
upper_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.3036472153594278,0.2496643762057684,0.000392659480826012,0.324061317612984,0.9370054334040074,7.236462093003759
upper_layer_mean_temperature_k,50.3,2.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.3035432498419715,0.2495702046137464,0.0003874461917231997,0.324061317612984,0.9366846128931792,7.268223323575751
upper_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.7029589127368956,0.5838488280377021,0.0012602590103341527,0.7128337230272038,0.9861471055993638,2.617973322062861
upper_layer_mean_temperature_k,50.3,2.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.702518660586107,0.5836765549883818,0.0012344554418906029,0.7128337230272038,0.9855294971213039,2.67896215927127
upper_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,linear_regression,240,1.65108209616069,0.9495719791187566,-0.0022422994639432164,6.669423297192855,0.24755994972693166,7.397896518215086
upper_layer_mean_temperature_k,50.3,2.0,source_name_pooled,all_sources_pooled,ridge_regression,240,1.6418660407858756,0.9498408148508987,-0.002083331491441598,6.669423297192855,0.2461781128027866,7.914785481820785
lower_layer_mean_temperature_k,50.3,3.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,50.3,3.0,global,all_era5,linear_regression,240,1.357105667056079,1.0752714697358774,9.270896528299489e-05,14.459286213124718,0.09385703049603043,90.65340404643698
lower_layer_mean_temperature_k,50.3,3.0,global,all_era5,ridge_regression,240,1.4313001621818757,1.1422419246866222,0.00015871249554268255,14.459286213124718,0.0989883000505711,90.14241511996396
lower_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,linear_regression,60,0.9129549583878614,0.6730273052210478,0.0024431275722856566,1.9301439415397743,0.4729983804521598,53.4884925888709
lower_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,ridge_regression,60,0.911611378139338,0.6735743539704312,0.0015938740899670734,1.9301439415397743,0.47230227679915887,53.556942781415984
lower_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.30270672243467905,0.24038556032688915,0.0005368707880290913,0.43612274359400777,0.6940860729714032,31.285478775831066
lower_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.30260352866398155,0.240091006009539,0.0005446976532238068,0.43612274359400777,0.6938494566237964,31.30890379424415
lower_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.0536024757086226,0.8544797486425445,0.0026400990102409595,1.3739092584337618,0.7668646740977023,24.27211343285174
lower_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.0531789742898476,0.8541296030873262,0.002613050198799982,1.3739092584337618,0.7665564285449664,24.30255268118442
lower_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,linear_regression,240,0.7852244782251776,0.5532440593223139,0.0017145110581638552,14.459286213124718,0.054305894955757085,39.585649604084864
lower_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,ridge_regression,240,0.7846280541124585,0.5531413753590244,0.0014964426109350152,14.459286213124718,0.05426464643878826,39.6315378517511
upper_layer_mean_temperature_k,50.3,3.0,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,50.3,3.0,global,all_era5,linear_regression,240,3.221772437135335,2.554647997013567,0.0022312677767607407,6.669423297192855,0.48306612034827234,51.894665515317875
upper_layer_mean_temperature_k,50.3,3.0,global,all_era5,ridge_regression,240,3.2790934939361094,2.6904289921121585,0.0008109560361140449,6.669423297192855,0.49166072504593794,51.038786130842006
upper_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,linear_regression,60,3.195565121285268,2.6466626830782087,-0.022960820051876378,3.3839812726815155,0.9443211601325016,7.141752586970773
upper_layer_mean_temperature_k,50.3,3.0,source_name,high_latitude_continental_2020,ridge_regression,60,3.1805481043953394,2.641929431588195,-0.02003365810182013,3.3839812726815155,0.9398834828288004,7.578124188501379
upper_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.30657141014463557,0.2507788587010413,0.00024175390079278714,0.324061317612984,0.9460290182204466,6.34312719617629
upper_layer_mean_temperature_k,50.3,3.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.3064712605913233,0.25070453157563094,0.0002384325575886237,0.324061317612984,0.9457199731482053,6.3737226583281625
upper_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.7005371170851804,0.5872259071475288,0.0025101455517404503,0.7128337230272038,0.9827496854528667,2.9534685615294487
upper_layer_mean_temperature_k,50.3,3.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.7001211714647639,0.5869145487544835,0.0024610235544351156,0.7128337230272038,0.9821661754322547,3.011090176064879
upper_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,linear_regression,240,1.6600162772889508,0.9618988309441623,-0.004802759037058616,6.669423297192855,0.24889952298988846,6.896816670466743
upper_layer_mean_temperature_k,50.3,3.0,source_name_pooled,all_sources_pooled,ridge_regression,240,1.652724027171841,0.9605807623050562,-0.004088726441648068,6.669423297192855,0.24780613758126116,7.305807659788166
lower_layer_mean_temperature_k,50.3,5.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,50.3,5.0,global,all_era5,linear_regression,240,1.3590585836458275,1.0803548011154376,0.0002521397282674087,14.459286213124718,0.0939920936354526,90.63995400880283
lower_layer_mean_temperature_k,50.3,5.0,global,all_era5,ridge_regression,240,1.4508408789270537,1.1636151526466736,0.0004457279345977838,14.459286213124718,0.10033973029803664,90.00783519115384
lower_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,linear_regression,60,0.9143979304632517,0.6697330018191716,0.0032979767412238442,1.9301439415397743,0.4737459786205322,53.41497876898094
lower_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,ridge_regression,60,0.9133420144615296,0.6702530754348857,0.002459201243778845,1.9301439415397743,0.4731989126846727,53.468773586007124
lower_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.3191442860984554,0.25151288736777133,0.00023348955999608734,0.43612274359400777,0.7317762964353698,27.55414665289837
lower_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.319035872479864,0.25120359394024033,0.00024267712943810694,0.43612274359400777,0.7315277113290348,27.578756578425534
lower_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.0527676592448791,0.8548167522803183,0.002208948067030292,1.3739092584337618,0.7662570528457027,24.332116031486706
lower_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.052341280296386,0.8545746764430404,0.0021913453734612176,1.3739092584337618,0.765946712882655,24.362762102837653
lower_layer_mean_temperature_k,50.3,5.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,50.3,5.0,source_name_pooled,all_sources_pooled,linear_regression,240,0.787978165933796,0.5571692042848038,0.0016580975243144281,14.459286213124718,0.05449633919124907,39.3737837507872
lower_layer_mean_temperature_k,50.3,5.0,source_name_pooled,all_sources_pooled,ridge_regression,240,0.787463704277337,0.5570896584815017,0.0014463642393643284,14.459286213124718,0.05446075917375195,39.4133658927612
upper_layer_mean_temperature_k,50.3,5.0,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,50.3,5.0,global,all_era5,linear_regression,240,3.22930421554875,2.5556845729054887,0.0017099231132533532,6.669423297192855,0.48419542015093814,51.78220607663574
upper_layer_mean_temperature_k,50.3,5.0,global,all_era5,ridge_regression,240,3.278763958244711,2.690715078753067,0.0004670401367870151,6.669423297192855,0.49161131512296347,51.043706535671554
upper_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,linear_regression,60,3.23341822329254,2.709540186869238,-0.03289642970379939,3.3839812726815155,0.9555071268849938,6.041799189642361
upper_layer_mean_temperature_k,50.3,5.0,source_name,high_latitude_continental_2020,ridge_regression,60,3.223388141495495,2.701884603399285,-0.0298451826545976,3.3839812726815155,0.9525431383198039,6.333258065219383
upper_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.30995533982635287,0.25206344787546386,0.00011210239496591612,0.324061317612984,0.9564712694173593,5.309344327681931
upper_layer_mean_temperature_k,50.3,5.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.3098559667257597,0.2519711956360803,0.00011058865650710459,0.324061317612984,0.9561646203506792,5.339702585283268
upper_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.695994273435232,0.5854248969124469,0.0033040810770536668,0.7128337230272038,0.9763767495167605,3.582795985219933
upper_layer_mean_temperature_k,50.3,5.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.6955962075276341,0.5849678683299995,0.0032420539874227217,0.7128337230272038,0.9758183220816674,3.637940694435371
upper_layer_mean_temperature_k,50.3,5.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,50.3,5.0,source_name_pooled,all_sources_pooled,linear_regression,240,1.6778700262091657,0.977553115636235,-0.007076037735696161,6.669423297192855,0.25157647842136177,5.8954765742401545
