profile_index,profile_id,valid_time,latitude,longitude,sample_group,frequency_ghz,tb_base_k,tb_warm_k,dTb_dT,nedt_k,sensitivity_to_noise_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,50.3,271.0910799653781,271.4769722211868,0.3858922558086988,0.3,1.2863075193623295,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,52.8,259.68189287360923,260.43782732019184,0.7559344465826143,0.5,1.5118688931652287,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,54.4,230.85686415717507,231.8644840211971,1.0076198640220184,0.7,1.4394569486028836,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,50.3,271.1554842023521,271.54176152205895,0.386277319706835,0.3,1.28759106568945,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,52.8,259.7348406648698,260.4906166260364,0.7557759611665915,0.5,1.511551922333183,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,54.4,230.95747040808334,231.96485938997643,1.0073889818930866,0.7,1.4391271169901239,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,50.3,271.121462845238,271.50851004373544,0.3870471984974415,0.3,1.2901573283248051,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,52.8,259.72877607728407,260.4844859339855,0.7557098567014577,0.5,1.5114197134029155,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,54.4,231.0632449229995,232.07037084407236,1.0071259210728556,0.7,1.4387513158183651,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,50.3,270.9305981660374,271.31970979770614,0.3891116316687544,0.3,1.2970387722291814,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,52.8,259.47622929030763,260.2324990209619,0.7562697306542532,0.5,1.5125394613085064,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,54.4,231.02097555131044,232.02766130799594,1.0066857566854992,0.7,1.4381225095507133,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,50.3,270.7977893700221,271.18613164358555,0.38834227356346673,0.3,1.2944742452115559,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,52.8,259.4218337882921,260.17740519176175,0.7555714034696734,0.5,1.5111428069393469,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,54.4,231.07815745748906,232.0847123570447,1.0065548995556526,0.7,1.4379355707937895,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,50.3,270.6531155931127,271.04051369356563,0.3873981004529128,0.3,1.2913270015097094,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,52.8,259.3616455811308,260.11641722978595,0.7547716486551508,0.5,1.5095432973103016,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,54.4,231.13162609235036,232.13803267634123,1.0064065839908665,0.7,1.4377236914155236,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,50.3,271.4641017831268,271.84024337973244,0.37614159660563473,0.3,1.2538053220187826,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,52.8,260.4460682415464,261.19733895189347,0.7512707103470575,0.5,1.502541420694115,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,54.4,231.3103684908179,232.3184402967422,1.0080718059243168,0.7,1.4401025798918812,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,50.3,271.4920327575872,271.8690324223242,0.3769996647370135,0.3,1.2566655491233785,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,52.8,260.45863820020435,261.2101536082954,0.751515408091052,0.5,1.503030816182104,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,54.4,231.35474295804914,232.36269070828553,1.007947750236383,0.7,1.439925357480547,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
8,t01_loc02,2020-01-01T06:00:00.000000000,57.5,10.0,loc02,50.3,271.3920180566945,271.76945199068797,0.3774339339934727,0.3,1.2581131133115757,278.2608642578125,193.98175048828125,278.5159912109375,239.66915728594805,4.66539557449154e-06,0.007380083557481599
8,t01_loc02,2020-01-01T06:00:00.000000000,57.5,10.0,loc02,52.8,260.41052204268493,261.1619516784326,0.7514296357476837,0.5,1.5028592714953675,278.2608642578125,193.98175048828125,278.5159912109375,239.66915728594805,4.66539557449154e-06,0.007380083557481599
8,t01_loc02,2020-01-01T06:00:00.000000000,57.5,10.0,loc02,54.4,231.4039383159492,232.41172029175965,1.0077819758104454,0.7,1.4396885368720649,278.2608642578125,193.98175048828125,278.5159912109375,239.66915728594805,4.66539557449154e-06,0.007380083557481599
9,t01_loc03,2020-01-01T06:00:00.000000000,57.5,11.0,loc03,50.3,271.1808773646939,271.5577137455281,0.37683638083416326,0.3,1.256121269447211,277.9991455078125,192.93878173828125,278.8109130859375,239.6708992622994,4.656598494575548e-06,0.007604489488963408
9,t01_loc03,2020-01-01T06:00:00.000000000,57.5,11.0,loc03,52.8,260.2438143859633,260.99480613655606,0.7509917505927888,0.5,1.5019835011855776,277.9991455078125,192.93878173828125,278.8109130859375,239.6708992622994,4.656598494575548e-06,0.007604489488963408
9,t01_loc03,2020-01-01T06:00:00.000000000,57.5,11.0,loc03,54.4,231.31730343654897,232.3249546535953,1.0076512170463445,0.7,1.4395017386376352,277.9991455078125,192.93878173828125,278.8109130859375,239.6708992622994,4.656598494575548e-06,0.007604489488963408
10,t01_loc04,2020-01-01T06:00:00.000000000,57.25,11.0,loc04,50.3,270.8433057651246,271.2191625750694,0.37585680994476434,0.3,1.2528560331492145,277.5323486328125,193.43292236328125,278.7152099609375,239.800650106894,4.6559901858615115e-06,0.007566568246851176
10,t01_loc04,2020-01-01T06:00:00.000000000,57.25,11.0,loc04,52.8,260.07582032197985,260.8258760325023,0.7500557105224743,0.5,1.5001114210449487,277.5323486328125,193.43292236328125,278.7152099609375,239.800650106894,4.6559901858615115e-06,0.007566568246851176
10,t01_loc04,2020-01-01T06:00:00.000000000,57.25,11.0,loc04,54.4,231.33838055681366,232.34582833232463,1.0074477755109683,0.7,1.439211107872812,277.5323486328125,193.43292236328125,278.7152099609375,239.800650106894,4.6559901858615115e-06,0.007566568246851176
11,t01_loc05,2020-01-01T06:00:00.000000000,57.0,11.0,loc05,50.3,270.5592392294311,270.9340121958694,0.37477296643828595,0.3,1.2492432214609532,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
11,t01_loc05,2020-01-01T06:00:00.000000000,57.0,11.0,loc05,52.8,259.92771022894016,260.67682275072843,0.7491125217882768,0.5,1.4982250435765536,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
11,t01_loc05,2020-01-01T06:00:00.000000000,57.0,11.0,loc05,54.4,231.35668923050554,232.36393792970662,1.0072486992010852,0.7,1.4389267131444075,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
12,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,loc00,50.3,271.3823541965721,271.7602435281772,0.37788933160510396,0.3,1.2596311053503466,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
12,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,loc00,52.8,260.6437072178824,261.3955227512314,0.7518155333489744,0.5,1.5036310666979489,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
12,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,loc00,54.4,231.61968637970278,232.6278740836844,1.008187703981605,0.7,1.44026814854515,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
13,t02_loc01,2020-01-01T12:00:00.000000000,57.75,10.0,loc01,50.3,271.30053436003254,271.6769962854925,0.3764619254599779,0.3,1.2548730848665932,277.8778076171875,196.102294921875,281.3888854980469,239.8611421327333,4.677051413072391e-06,0.007060872015443355
13,t02_loc01,2020-01-01T12:00:00.000000000,57.75,10.0,loc01,52.8,260.61432730963753,261.36514544218613,0.7508181325486021,0.5,1.5016362650972042,277.8778076171875,196.102294921875,281.3888854980469,239.8611421327333,4.677051413072391e-06,0.007060872015443355
13,t02_loc01,2020-01-01T12:00:00.000000000,57.75,10.0,loc01,54.4,231.6564137303519,232.66441954058894,1.0080058102370515,0.7,1.440008300338645,277.8778076171875,196.102294921875,281.3888854980469,239.8611421327333,4.677051413072391e-06,0.007060872015443355
14,t02_loc02,2020-01-01T12:00:00.000000000,57.5,10.0,loc02,50.3,271.1702384692607,271.54444619250677,0.3742077232460588,0.3,1.2473590774868626,277.6824951171875,195.8804931640625,281.4377136230469,240.01747131347656,4.677098206051603e-06,0.006900794029577523
14,t02_loc02,2020-01-01T12:00:00.000000000,57.5,10.0,loc02,52.8,260.5646191707915,261.3139954105255,0.7493762397339765,0.5,1.498752479467953,277.6824951171875,195.8804931640625,281.4377136230469,240.01747131347656,4.677098206051603e-06,0.006900794029577523
14,t02_loc02,2020-01-01T12:00:00.000000000,57.5,10.0,loc02,54.4,231.68835490738377,232.6961502909278,1.0077953835440212,0.7,1.4397076907771733,277.6824951171875,195.8804931640625,281.4377136230469,240.01747131347656,4.677098206051603e-06,0.006900794029577523
15,t02_loc03,2020-01-01T12:00:00.000000000,57.5,11.0,loc03,50.3,271.1792566921075,271.5533243254094,0.37406763330187687,0.3,1.2468921110062563,277.6981201171875,195.2906494140625,281.23712158203125,240.2002996496252,4.675273279864338e-06,0.006976575786619132
15,t02_loc03,2020-01-01T12:00:00.000000000,57.5,11.0,loc03,52.8,260.5524379416552,261.3018359825114,0.7493980408561924,0.5,1.4987960817123849,277.6981201171875,195.2906494140625,281.23712158203125,240.2002996496252,4.675273279864338e-06,0.006976575786619132
15,t02_loc03,2020-01-01T12:00:00.000000000,57.5,11.0,loc03,54.4,231.63479227149872,232.64257781728992,1.0077855457911937,0.7,1.4396936368445625,277.6981201171875,195.2906494140625,281.23712158203125,240.2002996496252,4.675273279864338e-06,0.006976575786619132
16,t02_loc04,2020-01-01T12:00:00.000000000,57.25,11.0,loc04,50.3,270.88669101986835,271.2579290464697,0.37123802660136107,0.3,1.2374600886712037,277.2528076171875,195.0318603515625,281.60626220703125,240.37850910908466,4.674618178157099e-06,0.007046950930601466
16,t02_loc04,2020-01-01T12:00:00.000000000,57.25,11.0,loc04,52.8,260.4373403297791,261.1849246191522,0.7475842893730942,0.5,1.4951685787461884,277.2528076171875,195.0318603515625,281.60626220703125,240.37850910908466,4.674618178157099e-06,0.007046950930601466
16,t02_loc04,2020-01-01T12:00:00.000000000,57.25,11.0,loc04,54.4,231.65524649672517,232.66278574353274,1.0075392468075677,0.7,1.4393417811536682,277.2528076171875,195.0318603515625,281.60626220703125,240.37850910908466,4.674618178157099e-06,0.007046950930601466
17,t02_loc05,2020-01-01T12:00:00.000000000,57.0,11.0,loc05,50.3,270.66829573937036,271.0371053809608,0.36880964159041696,0.3,1.2293654719680567,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
17,t02_loc05,2020-01-01T12:00:00.000000000,57.0,11.0,loc05,52.8,260.3525920094559,261.0986104397356,0.746018430279662,0.5,1.492036860559324,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
17,t02_loc05,2020-01-01T12:00:00.000000000,57.0,11.0,loc05,54.4,231.6807656773765,232.6880607629828,1.0072950856062732,0.7,1.4389929794375333,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
18,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,loc00,50.3,272.19559651065845,272.57747214655484,0.3818756358963924,0.3,1.272918786321308,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
18,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,loc00,52.8,261.22569509739753,261.9794811284714,0.7537860310738438,0.5,1.5075720621476876,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
18,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,loc00,54.4,231.98727156818134,232.99520109241692,1.0079295242355784,0.7,1.4398993203365407,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
19,t03_loc01,2020-01-01T18:00:00.000000000,57.75,10.0,loc01,50.3,272.04510847373336,272.4256229055542,0.38051443182081357,0.3,1.268381439402712,278.72650146484375,195.25521850585938,281.7767333984375,240.8125581483583,4.644272931803319e-06,0.007640072503105846
19,t03_loc01,2020-01-01T18:00:00.000000000,57.75,10.0,loc01,52.8,261.1767272862721,261.92952915776675,0.7528018714946256,0.5,1.5056037429892513,278.72650146484375,195.25521850585938,281.7767333984375,240.8125581483583,4.644272931803319e-06,0.007640072503105846
19,t03_loc01,2020-01-01T18:00:00.000000000,57.75,10.0,loc01,54.4,232.03508530954733,233.04288838516743,1.007803075620103,0.7,1.4397186794572903,278.72650146484375,195.25521850585938,281.7767333984375,240.8125581483583,4.644272931803319e-06,0.007640072503105846
20,t03_loc02,2020-01-01T18:00:00.000000000,57.5,10.0,loc02,50.3,271.77761611841237,272.1561917437194,0.3785756253070076,0.3,1.2619187510233587,278.32220458984375,195.26107788085938,281.6361083984375,240.90229632403398,4.651666222251203e-06,0.007578158463080841
20,t03_loc02,2020-01-01T18:00:00.000000000,57.5,10.0,loc02,52.8,261.0738501757098,261.82530167158836,0.7514514958785412,0.5,1.5029029917570824,278.32220458984375,195.26107788085938,281.6361083984375,240.90229632403398,4.651666222251203e-06,0.007578158463080841
20,t03_loc02,2020-01-01T18:00:00.000000000,57.5,10.0,loc02,54.4,232.07500829939738,233.08264776772697,1.007639468329586,0.7,1.4394849547565514,278.32220458984375,195.26107788085938,281.6361083984375,240.90229632403398,4.651666222251203e-06,0.007578158463080841
21,t03_loc03,2020-01-01T18:00:00.000000000,57.5,11.0,loc03,50.3,271.40994680301463,271.78760472275826,0.3776579197436263,0.3,1.2588597324787543,277.88275146484375,195.69857788085938,281.9368896484375,240.82044982910156,4.654754558787542e-06,0.007394765972363698
21,t03_loc03,2020-01-01T18:00:00.000000000,57.5,11.0,loc03,52.8,260.7864848786365,261.53746055165504,0.7509756730185586,0.5,1.5019513460371172,277.88275146484375,195.69857788085938,281.9368896484375,240.82044982910156,4.654754558787542e-06,0.007394765972363698
21,t03_loc03,2020-01-01T18:00:00.000000000,57.5,11.0,loc03,54.4,231.85645548720422,232.86410480053422,1.0076493133300062,0.7,1.439499019042866,277.88275146484375,195.69857788085938,281.9368896484375,240.82044982910156,4.654754558787542e-06,0.007394765972363698
22,t03_loc04,2020-01-01T18:00:00.000000000,57.25,11.0,loc04,50.3,270.9731507175398,271.34763902040874,0.3744883028689401,0.3,1.248294342896467,277.22650146484375,195.56185913085938,281.8743896484375,240.9490393561286,4.659621028505244e-06,0.00729650949383012
22,t03_loc04,2020-01-01T18:00:00.000000000,57.25,11.0,loc04,52.8,260.6090638836777,261.3579812068768,0.7489173231990662,0.5,1.4978346463981325,277.22650146484375,195.56185913085938,281.8743896484375,240.9490393561286,4.659621028505244e-06,0.00729650949383012
22,t03_loc04,2020-01-01T18:00:00.000000000,57.25,11.0,loc04,54.4,231.87989020717106,232.8873303943059,1.007440187134847,0.7,1.439200267335496,277.22650146484375,195.56185913085938,281.8743896484375,240.9490393561286,4.659621028505244e-06,0.00729650949383012
23,t03_loc05,2020-01-01T18:00:00.000000000,57.0,11.0,loc05,50.3,270.77661369101764,271.14847018280136,0.37185649178371705,0.3,1.239521639279057,276.92376708984375,195.43392944335938,281.7572021484375,241.06664915342589,4.6621478493318235e-06,0.0071704183015964765
23,t03_loc05,2020-01-01T18:00:00.000000000,57.0,11.0,loc05,52.8,260.54280941245486,261.2901171752897,0.7473077628348506,0.5,1.4946155256697011,276.92376708984375,195.43392944335938,281.7572021484375,241.06664915342589,4.6621478493318235e-06,0.0071704183015964765
23,t03_loc05,2020-01-01T18:00:00.000000000,57.0,11.0,loc05,54.4,231.9149699428713,232.92223634997933,1.007266407108034,0.7,1.4389520101543343,276.92376708984375,195.43392944335938,281.7572021484375,241.06664915342589,4.6621478493318235e-06,0.0071704183015964765
